ID,Name,Ticker,Asset Class,Annual Drift (mu),Annual Volatility (sig),Risk-Free Rate (rf),Base Price,Currency
sensex,BSE SENSEX,SENSEX,indian-index,0.127,0.185,0.065,76664.21,₹
nifty50,NIFTY 50,NIFTY50,indian-index,0.125,0.183,0.065,23897.95,₹
bankex,BSE BANKEX,BSE-BANK.BO,indian-index,0.130,0.200,0.065,63188.31,₹
niftybank,NIFTY BANK,^NSEBANK,indian-index,0.125,0.190,0.065,56089.75,₹
reliance,Reliance Ind,RELIANCE,indian-stock,0.145,0.262,0.065,1327.80,₹
aapl,Apple,AAPL,us-stock,0.212,0.295,0.045,270.47,$
msft,Microsoft,MSFT,us-stock,0.198,0.278,0.045,420.37,$
xauusd,Gold (XAU/USD),XAU/USD,forex,0.082,0.145,0.045,4738.20,$
xagusd,Silver (XAG/USD),XAG/USD,forex,0.075,0.228,0.045,75.73,$
digitide,Digitide Solutions Limited,DIGITIDE,indian-stock,0.219,0.534,0.065,5287.05,₹
vijifin,Viji Finance Limited,VIJIFIN,indian-stock,0.197,0.208,0.065,8198.16,₹
unitdspr,United Spirits Limited,UNITDSPR,indian-stock,0.087,0.182,0.065,1461.17,₹
sepc,SEPC Limited,SEPC,indian-stock,0.168,0.205,0.065,1595.19,₹
axisbank,Axis Bank Limited,AXISBANK,indian-stock,0.111,0.349,0.065,698.46,₹
sonamltd,SONAM LIMITED,SONAMLTD,indian-stock,0.169,0.526,0.065,9136.24,₹
onwardtec,Onward Technologies Limited,ONWARDTEC,indian-stock,0.172,0.186,0.065,5368.90,₹
finkurve,Finkurve Financial Services Limited,FINKURVE,indian-stock,0.138,0.186,0.065,7249.71,₹
jsl,Jindal Stainless Limited,JSL,indian-stock,0.155,0.286,0.065,5071.94,₹
anuhphr,Anuh Pharma Limited,ANUHPHR,indian-stock,0.178,0.339,0.065,9403.15,₹
swarajeng,Swaraj Engines Limited,SWARAJENG,indian-stock,0.105,0.520,0.065,5291.42,₹
servotech,Servotech Renewable Power System Limited,SERVOTECH,indian-stock,0.114,0.409,0.065,2598.94,₹
selmc,SEL Manufacturing Company Limited,SELMC,indian-stock,0.130,0.474,0.065,882.29,₹
pfs,PTC India Financial Services Limited,PFS,indian-stock,0.214,0.350,0.065,2507.76,₹
kesoramind,Kesoram Industries Limited,KESORAMIND,indian-stock,0.178,0.291,0.065,8297.81,₹
cosmofirst,COSMO FIRST LIMITED,COSMOFIRST,indian-stock,0.091,0.547,0.065,6533.96,₹
aaatech,AAA Technologies Limited,AAATECH,indian-stock,0.084,0.330,0.065,3833.98,₹
aptecht,Aptech Limited,APTECHT,indian-stock,0.147,0.416,0.065,7058.17,₹
iob,Indian Overseas Bank,IOB,indian-stock,0.092,0.493,0.065,6484.58,₹
kritinut,Kriti Nutrients Limited,KRITINUT,indian-stock,0.126,0.542,0.065,9741.01,₹
rallis,Rallis India Limited,RALLIS,indian-stock,0.205,0.520,0.065,2374.69,₹
npst,Network People Services Technologies Limited,NPST,indian-stock,0.206,0.436,0.065,5711.16,₹
bhel,Bharat Heavy Electricals Limited,BHEL,indian-stock,0.118,0.522,0.065,6875.84,₹
brooks,Brooks Laboratories Limited,BROOKS,indian-stock,0.119,0.381,0.065,6615.28,₹
kanchi,Kanchi Karpooram Limited,KANCHI,indian-stock,0.105,0.495,0.065,255.02,₹
dhanuka,Dhanuka Agritech Limited,DHANUKA,indian-stock,0.109,0.233,0.065,8224.84,₹
ivp,IVP Limited,IVP,indian-stock,0.195,0.524,0.065,3062.84,₹
pigl,Power & Instrumentation (Gujarat) Limited,PIGL,indian-stock,0.159,0.390,0.065,8509.48,₹
ttkprestig,TTK Prestige Limited,TTKPRESTIG,indian-stock,0.175,0.380,0.065,3900.08,₹
lotusdev,Sri Lotus Developers and Realty Limited,LOTUSDEV,indian-stock,0.184,0.472,0.065,6924.17,₹
donear,Donear Industries Limited,DONEAR,indian-stock,0.091,0.456,0.065,3524.01,₹
eihotel,EIH Limited,EIHOTEL,indian-stock,0.094,0.266,0.065,852.58,₹
waareeener,Waaree Energies Limited,WAAREEENER,indian-stock,0.165,0.407,0.065,5996.53,₹
acc,ACC Limited,ACC,indian-stock,0.216,0.301,0.065,6377.82,₹
tolins,Tolins Tyres Limited,TOLINS,indian-stock,0.190,0.347,0.065,2358.57,₹
tmb,Tamilnad Mercantile Bank Limited,TMB,indian-stock,0.157,0.319,0.065,1938.80,₹
krsnaa,Krsnaa Diagnostics Limited,KRSNAA,indian-stock,0.162,0.321,0.065,7744.46,₹
msumi,Motherson Sumi Wiring India Limited,MSUMI,indian-stock,0.121,0.271,0.065,827.72,₹
adanient,Adani Enterprises Limited,ADANIENT,indian-stock,0.118,0.321,0.065,7860.51,₹
trent,Trent Limited,TRENT,indian-stock,0.102,0.324,0.065,3670.93,₹
gvpil,GE Power India Limited,GVPIL,indian-stock,0.093,0.529,0.065,4502.89,₹
mblinfra,MBL Infrastructure Limited,MBLINFRA,indian-stock,0.187,0.218,0.065,964.24,₹
afil,Akme Fintrade (India) Limited,AFIL,indian-stock,0.140,0.386,0.065,5173.16,₹
grwrhitech,Garware Hi-Tech Films Limited,GRWRHITECH,indian-stock,0.094,0.213,0.065,5586.78,₹
gujthem,Gujarat Themis Biosyn Limited,GUJTHEM,indian-stock,0.164,0.470,0.065,8650.81,₹
univphoto,Universus Photo Imagings Limited,UNIVPHOTO,indian-stock,0.082,0.333,0.065,7813.77,₹
lxchem,Laxmi Organic Industries Limited,LXCHEM,indian-stock,0.181,0.387,0.065,9928.03,₹
rhl,Robust Hotels Limited,RHL,indian-stock,0.114,0.373,0.065,6884.63,₹
jublingrea,Jubilant Ingrevia Limited,JUBLINGREA,indian-stock,0.104,0.280,0.065,2757.23,₹
dbeil,Deepak Builders & Engineers India Limited,DBEIL,indian-stock,0.100,0.242,0.065,2832.02,₹
aiaeng,AIA Engineering Limited,AIAENG,indian-stock,0.122,0.470,0.065,3675.14,₹
madrasfert,Madras Fertilizers Limited,MADRASFERT,indian-stock,0.212,0.447,0.065,5008.44,₹
goclcorp,GOCL Corporation Limited,GOCLCORP,indian-stock,0.166,0.349,0.065,1441.35,₹
concordbio,Concord Biotech Limited,CONCORDBIO,indian-stock,0.081,0.326,0.065,8431.97,₹
godrejagro,Godrej Agrovet Limited,GODREJAGRO,indian-stock,0.133,0.499,0.065,4458.21,₹
carboruniv,Carborundum Universal Limited,CARBORUNIV,indian-stock,0.140,0.485,0.065,6545.26,₹
vishnu,Vishnu Chemicals Limited,VISHNU,indian-stock,0.163,0.291,0.065,6071.79,₹
asal,Automotive Stampings and Assemblies Limited,ASAL,indian-stock,0.177,0.357,0.065,1858.61,₹
salzerelec,Salzer Electronics Limited,SALZERELEC,indian-stock,0.136,0.298,0.065,7375.26,₹
v2retail,V2 Retail Limited,V2RETAIL,indian-stock,0.169,0.538,0.065,7841.55,₹
premier,Premier Limited,PREMIER,indian-stock,0.126,0.284,0.065,7880.08,₹
gipcl,Gujarat Industries Power Company Limited,GIPCL,indian-stock,0.131,0.525,0.065,2078.02,₹
vikaseco,Vikas EcoTech Limited,VIKASECO,indian-stock,0.220,0.247,0.065,7699.42,₹
heranba,Heranba Industries Limited,HERANBA,indian-stock,0.084,0.449,0.065,9435.45,₹
jiofin,Jio Financial Services Limited,JIOFIN,indian-stock,0.109,0.475,0.065,8329.69,₹
pittieng,Pitti Engineering Limited,PITTIENG,indian-stock,0.090,0.494,0.065,7970.95,₹
vipind,VIP Industries Limited,VIPIND,indian-stock,0.174,0.231,0.065,3098.04,₹
inoxindia,INOX India Limited,INOXINDIA,indian-stock,0.115,0.237,0.065,4288.97,₹
ajmera,Ajmera Realty & Infra India Limited,AJMERA,indian-stock,0.133,0.346,0.065,6019.55,₹
chembondch,Chembond Chemicals Limited,CHEMBONDCH,indian-stock,0.162,0.378,0.065,9242.61,₹
cccl,Consolidated Construction Consortium Limited,CCCL,indian-stock,0.202,0.335,0.065,463.98,₹
lalpathlab,Dr. Lal Path Labs Ltd.,LALPATHLAB,indian-stock,0.216,0.440,0.065,8141.74,₹
balaxi,BALAXI PHARMACEUTICALS LIMITED,BALAXI,indian-stock,0.163,0.518,0.065,1182.76,₹
atl,Allcargo Terminals Limited,ATL,indian-stock,0.115,0.426,0.065,1746.75,₹
setco,Setco Automotive Limited,SETCO,indian-stock,0.166,0.388,0.065,6485.81,₹
ramapho,Rama Phosphates Limited,RAMAPHO,indian-stock,0.171,0.538,0.065,3382.81,₹
avroind,AVRO INDIA LIMITED,AVROIND,indian-stock,0.191,0.219,0.065,1076.20,₹
brigade,Brigade Enterprises Limited,BRIGADE,indian-stock,0.111,0.456,0.065,5624.13,₹
maxestates,Max Estates Limited,MAXESTATES,indian-stock,0.176,0.262,0.065,3803.78,₹
jkipl,Jinkushal Industries Limited,JKIPL,indian-stock,0.145,0.431,0.065,6935.33,₹
pngjl,P N Gadgil Jewellers Limited,PNGJL,indian-stock,0.101,0.549,0.065,4879.43,₹
dpwires,D P Wires Limited,DPWIRES,indian-stock,0.121,0.521,0.065,949.96,₹
thomascott,Thomas Scott (India) Limited,THOMASCOTT,indian-stock,0.196,0.450,0.065,3548.45,₹
blkashyap,B. L. Kashyap and Sons Limited,BLKASHYAP,indian-stock,0.128,0.470,0.065,5259.04,₹
zenithstl,Zenith Steel Pipes & Industries Limited,ZENITHSTL,indian-stock,0.129,0.216,0.065,7247.74,₹
asterdm,Aster DM Healthcare Limited,ASTERDM,indian-stock,0.143,0.205,0.065,542.36,₹
banarbeads,Banaras Beads Limited,BANARBEADS,indian-stock,0.180,0.188,0.065,3496.47,₹
hbesd,HB Estate Developers Limited,HBESD,indian-stock,0.095,0.476,0.065,9306.23,₹
sedemac,SEDEMAC Mechatronics Limited,SEDEMAC,indian-stock,0.184,0.371,0.065,5563.91,₹
salasar,Salasar Techno Engineering Limited,SALASAR,indian-stock,0.126,0.338,0.065,4674.34,₹
vmm,Vishal Mega Mart Limited,VMM,indian-stock,0.192,0.413,0.065,1945.23,₹
emamiltd,Emami Limited,EMAMILTD,indian-stock,0.172,0.326,0.065,7400.14,₹
tijaria,Tijaria Polypipes Limited,TIJARIA,indian-stock,0.204,0.346,0.065,4352.57,₹
brnl,Bharat Road Network Limited,BRNL,indian-stock,0.081,0.259,0.065,2855.61,₹
route,ROUTE MOBILE LIMITED,ROUTE,indian-stock,0.179,0.475,0.065,5815.74,₹
obcl,Orissa Bengal Carrier Limited,OBCL,indian-stock,0.192,0.379,0.065,3721.35,₹
aurionpro,Aurionpro Solutions Limited,AURIONPRO,indian-stock,0.108,0.222,0.065,6739.94,₹
jaykay,Jaykay Enterprises Limited,JAYKAY,indian-stock,0.149,0.537,0.065,3202.70,₹
nimbsproj,Nimbus Projects Limited,NIMBSPROJ,indian-stock,0.134,0.325,0.065,1230.90,₹
haldyngl,Haldyn Glass Limited,HALDYNGL,indian-stock,0.129,0.349,0.065,1808.02,₹
jainrec,Jain Resource Recycling Limited,JAINREC,indian-stock,0.174,0.476,0.065,9194.96,₹
mcx,Multi Commodity Exchange of India Limited,MCX,indian-stock,0.163,0.429,0.065,3200.54,₹
jwl,Jupiter Wagons Limited,JWL,indian-stock,0.113,0.223,0.065,3795.73,₹
sundrop,Sundrop Brands Limited,SUNDROP,indian-stock,0.100,0.324,0.065,6004.62,₹
lloydsengg,LLOYDS ENGINEERING WORKS LIMITED,LLOYDSENGG,indian-stock,0.160,0.337,0.065,4918.04,₹
ninsys,NINtec Systems Limited,NINSYS,indian-stock,0.155,0.520,0.065,9313.88,₹
kamopaints,Kamdhenu Ventures Limited,KAMOPAINTS,indian-stock,0.104,0.242,0.065,2959.46,₹
teamlease,Teamlease Services Limited,TEAMLEASE,indian-stock,0.106,0.492,0.065,6232.16,₹
nitiraj,Nitiraj Engineers Limited,NITIRAJ,indian-stock,0.201,0.532,0.065,4897.63,₹
cera,Cera Sanitaryware Limited,CERA,indian-stock,0.107,0.322,0.065,5659.66,₹
vindhyatel,Vindhya Telelinks Limited,VINDHYATEL,indian-stock,0.171,0.331,0.065,4968.09,₹
colpal,Colgate Palmolive (India) Limited,COLPAL,indian-stock,0.179,0.344,0.065,1755.81,₹
paisalo,Paisalo Digital Limited,PAISALO,indian-stock,0.159,0.474,0.065,2283.24,₹
wheels,Wheels India Limited,WHEELS,indian-stock,0.085,0.263,0.065,2957.84,₹
libertshoe,Liberty Shoes Limited,LIBERTSHOE,indian-stock,0.189,0.389,0.065,7748.22,₹
nam-india,Nippon Life India Asset Management Limited,NAM-INDIA,indian-stock,0.149,0.369,0.065,5769.87,₹
mukandltd,Mukand Limited,MUKANDLTD,indian-stock,0.118,0.381,0.065,9909.85,₹
indterrain,Indian Terrain Fashions Limited,INDTERRAIN,indian-stock,0.156,0.460,0.065,7624.04,₹
dmart,Avenue Supermarts Limited,DMART,indian-stock,0.142,0.261,0.065,4309.03,₹
jyoticnc,Jyoti CNC Automation Limited,JYOTICNC,indian-stock,0.183,0.422,0.065,2550.56,₹
ptc,PTC India Limited,PTC,indian-stock,0.202,0.192,0.065,2701.87,₹
jlhl,Jupiter Life Line Hospitals Limited,JLHL,indian-stock,0.201,0.212,0.065,8666.38,₹
nationstd,National Standard (India) Limited,NATIONSTD,indian-stock,0.096,0.480,0.065,2177.79,₹
ntpc,NTPC Limited,NTPC,indian-stock,0.183,0.435,0.065,8624.38,₹
availfc,Available Finance Limited,AVAILFC,indian-stock,0.165,0.338,0.065,6199.90,₹
welspunliv,Welspun Living Limited,WELSPUNLIV,indian-stock,0.190,0.481,0.065,8073.86,₹
khaichem,Khaitan Chemicals & Fertilizers Limited,KHAICHEM,indian-stock,0.160,0.377,0.065,6008.89,₹
dabur,Dabur India Limited,DABUR,indian-stock,0.104,0.542,0.065,2997.08,₹
marksans,Marksans Pharma Limited,MARKSANS,indian-stock,0.160,0.532,0.065,5192.71,₹
